day_theme,event,chart_title,article_url,path
Lessons from the past ,How can we build a sustainable planet?,Impact of tempertaure on wheat yields,,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/How can we build a sustainable planet?/Impact of temperature on wheat yields
Lessons from the past ,How can we build a sustainable planet?,Africa average temperature,,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/How can we build a sustainable planet?/Africa average temperature
Lessons from the past ,How can we build a sustainable planet?,No. of environmental economics articles,https://www.economicsobservatory.com/how-have-economists-thought-about-climate-change,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/How can we build a sustainable planet?/No. of environmental economics articles\
Lessons from the past ,How can we build a sustainable planet?,Energy consumption projections,https://www.economicsobservatory.com/how-does-climate-change-shape-inequality-poverty-and-economic-opportunity,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/How can we build a sustainable planet?/Energy consumption projections
Lessons from the past ,How can we build a sustainable planet?,Renewable Electricity costs,https://www.economicsobservatory.com/what-are-the-likely-costs-of-the-transition-to-a-sustainable-economy,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/How can we build a sustainable planet?/Renewable Electricity Costs
Lessons from the past ,How can we build a sustainable planet?,Global energy supply investment by sector,,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/How can we build a sustainable planet?/Global energy supply investment by sector
Lessons from the past ,How can we build a sustainable planet?,Balanced net zero pathway projected costs,,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/How can we build a sustainable planet?/Balanced net zero pathway projected costs
Lessons from the past ,How can we build a sustainable planet?,,,https://economicsobservatory.github.io/ECOvisualisations/articles/how-can-education-and-skil[…]tribute-to-levelling-up/visualisation/fig2/index.html
Lessons from the past ,(Not) Moving on up: How can we increase social mobility?,Great Gatsby curve,https://www.economicsobservatory.com/how-will-pandemic-and-lockdown-affect-social-mobility,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/Not moving on up/Great gatsby curve
Rebuilding Britain ,Great Britain? How We Get Our Future Back; and Growth: A Reckoning,impact of increasing taxes and reinvesting on real GDP,https://www.economicsobservatory.com/which-taxes-are-best-and-worst-for-growth,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/Great Britain?/Impact of increasing taxes
2nd October,Great Britain? How We Get Our Future Back; and Growth: A Reckoning,Relative tax rate on dividends compared to corporate income in Europe,https://www.economicsobservatory.com/can-investment-tax-reform-boost-economic-growth,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/Great Britain?/Relative tax rate on dividents 
2nd October,"The kids aren’t alright: Tackling a legacy of child poverty, bad diets and poor health","Trends in UK performance in mathematics, reading and science",https://www.economicsobservatory.com/what-can-the-uk-learn-from-the-latest-global-data-on-pupil-performance,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/The kids aren't alright/Trends in UK performance in mathmatics
2nd October,"The kids aren’t alright: Tackling a legacy of child poverty, bad diets and poor health",Strength of socio-economic gradient and mathematics performance,https://www.economicsobservatory.com/what-can-the-uk-learn-from-the-latest-global-data-on-pupil-performance,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/The kids aren't alright/Strength of socio-economic gradient
2nd October,"The kids aren’t alright: Tackling a legacy of child poverty, bad diets and poor health"," Differences in mathematical performance, by immigrant background",https://www.economicsobservatory.com/what-can-the-uk-learn-from-the-latest-global-data-on-pupil-performance,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/The kids aren't alright/Differences in mathmatical performance
2nd October,"The kids aren’t alright: Tackling a legacy of child poverty, bad diets and poor health",Relative child poverty,https://www.economicsobservatory.com/what-has-happened-to-child-poverty-in-the-uk-over-the-last-30-years,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/The kids aren't alright/Relative Child Poverty 
2nd October,"The kids aren’t alright: Tackling a legacy of child poverty, bad diets and poor health",Absolute child poverty,,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/The kids aren't alright/Absolute child poverty 
2nd October,"The kids aren’t alright: Tackling a legacy of child poverty, bad diets and poor health",Child poverty by ethnicity,,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/The kids aren't alright/Child Poverty by ethnicity 
2nd October,"The kids aren’t alright: Tackling a legacy of child poverty, bad diets and poor health",Home ownership by age,https://www.economicsobservatory.com/how-does-the-housing-market-affect-wealth-inequality,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/The kids aren't alright/Home ownership by age
2nd October,"The kids aren’t alright: Tackling a legacy of child poverty, bad diets and poor health",Children with mental disorders,https://x.com/EconObservatory/status/1797707122295316952,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/The kids aren't alright/Children with mental disorders
2nd October,The first 100 days: Has the new government got its priorities right for kick-starting Britain?,Election results,https://www.economicsobservatory.com/what-happened-in-the-2024-uk-general-election,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/First 100 days/election results
2nd October,The first 100 days: Has the new government got its priorities right for kick-starting Britain?,private housing rental prices,https://x.com/EconObservatory/status/1833588780571205709,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/First 100 days/Private housing prices
2nd October,The first 100 days: Has the new government got its priorities right for kick-starting Britain?,financial trends in british universities,https://x.com/EconObservatory/status/1820813328010100856,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/First 100 days/Financial trends in british universities
2nd October,The first 100 days: Has the new government got its priorities right for kick-starting Britain?,Investment,https://x.com/EconObservatory/status/1813165055321506074,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/First 100 days/Investment
Britain's place in the world,The Corporation in the 21st Century,UK/US Patents over time,https://www.economicsobservatory.com/what-can-we-learn-about-patents-and-innovation-from-the-past,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/The Corporation in the 21st Century/UKvUS patents
Britain's place in the world,Trading nation: How can we get Britain exporting again?,UK exports,,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/Trading nation%3A how can we get Britian exporting again?/EU and World Exports and Imports
Britain's place in the world,Trading nation: How can we get Britain exporting again?,"Net trade, % of GDP",https://www.economicsobservatory.com/boosting-productivity-why-doesnt-the-uk-invest-enough,"https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/Trading nation%3A how can we get Britian exporting again?/Net trade, % of GDP "
Britain's place in the world,Beyond fair play: What would a fair society look like?,A-level results by school type,https://www.economicsobservatory.com/how-have-teacher-assessments-affected-a-level-results,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/Beyond fair play/A-level results by school type 
Britain's place in the world,Beyond fair play: What would a fair society look like?,Food parcels by UK region,https://www.economicsobservatory.com/how-might-the-cost-of-living-crisis-affect-peoples-health,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/Beyond fair play/Food parcels by UK region
Britain's place in the world,Global Britain: What is our role in the world?,NATO defense spending,,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/Global Britain%3A What is our role in the world?/NATO Defense Spending
Britain's place in the world,Global Britain: What is our role in the world?,"Total UK Imports and Exports, and with the EU 28 countries",https://www.economicsobservatory.com/what-do-the-latest-data-reveal-about-uk-trade,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/Global Britain%3A What is our role in the world?/Total UK exports and imports
Britain's place in the world,Global Britain: What is our role in the world?,GDP per hour across countries,https://www.economicsobservatory.com/what-do-the-latest-data-reveal-about-uk-trade,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/Global Britain%3A What is our role in the world?/GDP per hour across countries
Britain's place in the world,Inequalities – the Marshall Paley Lecture,Childcare subsidy impact,https://www.economicsobservatory.com/how-could-the-early-years-budget-be-better-targeted-to-reduce-inequality,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/Inequalities%3A Marshall Paley Lecture/Childcare subsidy impact
Britain's place in the world,Inequalities – the Marshall Paley Lecture,UK Composition of wealth,https://www.economicsobservatory.com/what-are-the-implications-of-covid-19-for-wealth-inequality,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/Inequalities%3A Marshall Paley Lecture/UK Composition of wealth
Britain's place in the world,Inequalities – the Marshall Paley Lecture,Children living below poverty line,https://www.economicsobservatory.com/what-do-we-know-about-child-poverty-in-developing-economies,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/Inequalities%3A Marshall Paley Lecture/Children living below poverty line
Britain's place in the world,Inequalities – the Marshall Paley Lecture,Net Childcare cost,https://www.economicsobservatory.com/population-ageing-and-decline-what-policies-might-mitigate-the-downsides,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/Inequalities%3A Marshall Paley Lecture/Net Childcare cos
